game,score,mean_score,record
1,0,0.0,0
2,0,0.0,0
3,0,0.0,0
4,0,0.0,0
5,0,0.0,0
6,0,0.0,0
7,1,0.14285714285714285,1
8,0,0.125,1
9,0,0.1111111111111111,1
10,0,0.1,1
11,0,0.09090909090909091,1
12,0,0.08333333333333333,1
13,0,0.07692307692307693,1
14,0,0.07142857142857142,1
15,0,0.06666666666666667,1
16,0,0.0625,1
17,1,0.11764705882352941,1
18,1,0.16666666666666666,1
19,0,0.15789473684210525,1
20,0,0.15,1
21,0,0.14285714285714285,1
22,0,0.13636363636363635,1
23,0,0.13043478260869565,1
24,0,0.125,1
25,0,0.12,1
26,0,0.11538461538461539,1
27,0,0.1111111111111111,1
28,0,0.10714285714285714,1
29,0,0.10344827586206896,1
30,0,0.1,1
31,0,0.0967741935483871,1
32,0,0.09375,1
33,0,0.09090909090909091,1
34,0,0.08823529411764706,1
35,0,0.08571428571428572,1
36,0,0.08333333333333333,1
37,0,0.08108108108108109,1
38,0,0.07894736842105263,1
39,0,0.07692307692307693,1
40,0,0.075,1
41,0,0.07317073170731707,1
42,0,0.07142857142857142,1
43,0,0.06976744186046512,1
44,0,0.06818181818181818,1
45,0,0.06666666666666667,1
46,0,0.06521739130434782,1
47,0,0.06382978723404255,1
48,0,0.0625,1
49,0,0.061224489795918366,1
50,0,0.06,1
51,0,0.058823529411764705,1
52,0,0.057692307692307696,1
53,0,0.05660377358490566,1
54,0,0.05555555555555555,1
55,0,0.05454545454545454,1
56,0,0.05357142857142857,1
57,0,0.05263157894736842,1
58,0,0.05172413793103448,1
59,0,0.05084745762711865,1
60,0,0.05,1
61,0,0.04918032786885246,1
62,1,0.06451612903225806,1
63,0,0.06349206349206349,1
64,0,0.0625,1
65,0,0.06153846153846154,1
66,0,0.06060606060606061,1
67,0,0.05970149253731343,1
68,0,0.058823529411764705,1
69,0,0.057971014492753624,1
70,0,0.05714285714285714,1
71,0,0.056338028169014086,1
72,0,0.05555555555555555,1
73,0,0.0547945205479452,1
74,0,0.05405405405405406,1
75,0,0.05333333333333334,1
76,0,0.05263157894736842,1
